genetic;length;mass;exercise;smoking;alcohol;sugar;lifespan
76.0;177.0;69.0;1.0;0.0;2.0;2;80
79.0;176.0;90.0;1.0;6.0;10.0;3;62
79.0;168.0;75.0;2.0;16.0;7.0;1;75
79.0;209.0;61.0;2.0;16.0;8.0;3;72
84.0;176.0;75.0;1.0;4.0;9.0;1;83
81.0;185.0;68.0;3.0;15.0;8.0;2;88
83.0;192.0;62.0;2.0;3.0;3.0;2;92
81.0;196.0;68.0;2.0;6.0;7.0;3;80
80.0;193.0;84.0;1.0;0.0;1.0;1;87
78.0;191.0;64.0;2.0;1.0;3.0;3;92
82.0;192.0;75.0;1.0;12.0;6.0;3;70
81.0;184.0;87.0;2.0;14.0;6.0;2;77
78.0;198.0;80.0;2.0;18.0;9.0;4;70
81.0;188.0;80.0;1.0;8.0;6.0;4;66
81.0;184.0;84.0;2.0;19.0;8.0;3;68
80.0;190.0;82.0;1.0;20.0;4.0;3;60
81.0;169.0;62.0;1.0;1.0;9.0;2;74
79.0;207.0;73.0;2.0;1.0;3.0;4;83
79.0;201.0;85.0;2.0;14.0;5.0;1;80
81.0;192.0;87.0;1.0;4.0;9.0;3;70
80.0;184.0;74.0;3.0;0.0;2.0;3;97
79.0;169.0;90.0;3.0;8.0;1.0;3;83
81.0;184.0;91.0;2.0;21.0;6.0;2;76
78.0;184.0;80.0;2.0;5.0;9.0;2;84
76.0;197.0;72.0;2.0;15.0;6.0;2;74
80.0;198.0;62.0;1.0;22.0;5.0;3;66
79.0;203.0;65.0;2.0;3.0;8.0;2;85
81.0;192.0;60.0;2.0;15.0;4.0;2;82
77.0;173.0;73.0;2.0;21.0;3.0;2;67
84.0;178.0;77.0;3.0;17.0;9.0;3;81
81.0;169.0;68.0;2.0;14.0;7.0;2;74
78.0;206.0;78.0;3.0;10.0;6.0;4;82
80.0;187.0;107.0;2.0;4.0;10.0;5;70
81.0;180.0;62.0;1.0;21.0;2.0;2;70
77.0;185.0;86.0;1.0;6.0;8.0;2;72
81.0;175.0;64.0;2.0;14.0;4.0;1;87
79.0;200.0;103.0;2.0;21.0;9.0;3;61
80.0;186.0;62.0;2.0;0.0;4.0;2;96
81.0;186.0;80.0;2.0;4.0;7.0;2;89
81.0;175.0;73.0;3.0;13.0;4.0;3;91
82.0;213.0;91.0;3.0;2.0;6.0;4;94
81.0;186.0;82.0;1.0;3.0;5.0;2;77
79.0;189.0;79.0;1.0;19.0;7.0;5;59
81.0;203.0;104.0;1.0;0.0;8.0;3;68
80.0;193.0;80.0;1.0;20.0;8.0;3;62
79.0;160.0;92.0;2.0;7.0;1.0;2;82
77.0;192.0;63.0;1.0;14.0;2.0;2;77
80.0;182.0;64.0;2.0;0.0;6.0;3;87
82.0;183.0;89.0;2.0;11.0;8.0;4;73
78.0;169.0;70.0;0.0;2.0;9.0;2;64
81.0;186.0;86.0;1.0;5.0;6.0;3;72
78.0;182.0;84.0;2.0;0.0;5.0;4;85
82.0;191.0;72.0;1.0;8.0;6.0;3;77
79.0;205.0;70.0;1.0;10.0;3.0;3;77
80.0;154.0;95.0;2.0;3.0;9.0;1;80
78.0;175.0;77.0;1.0;3.0;6.0;2;73
79.0;205.0;84.0;0.0;10.0;9.0;2;61
79.0;196.0;107.0;2.0;1.0;1.0;3;85
76.0;188.0;80.0;1.0;17.0;2.0;3;63
81.0;207.0;110.0;1.0;18.0;5.0;2;65
79.0;191.0;103.0;1.0;21.0;8.0;3;53
78.0;173.0;69.0;2.0;20.0;7.0;2;70
82.0;178.0;80.0;2.0;20.0;7.0;3;67
80.0;182.0;88.0;1.0;1.0;9.0;2;71
80.0;181.0;100.0;2.0;2.0;4.0;3;79
80.0;198.0;92.0;2.0;20.0;9.0;4;64
82.0;173.0;64.0;1.0;5.0;5.0;3;76
82.0;200.0;74.0;2.0;4.0;8.0;2;87
81.0;166.0;80.0;2.0;19.0;3.0;3;69
83.0;179.0;67.0;2.0;13.0;10.0;3;74
79.0;179.0;102.0;1.0;1.0;1.0;2;79
79.0;176.0;86.0;1.0;7.0;9.0;2;64
84.0;203.0;86.0;1.0;21.0;9.0;3;65
78.0;183.0;83.0;2.0;18.0;5.0;2;69
80.0;178.0;88.0;1.0;0.0;1.0;1;84
80.0;187.0;75.0;3.0;1.0;1.0;2;99
83.0;179.0;72.0;2.0;0.0;10.0;4;79
81.0;188.0;76.0;1.0;17.0;5.0;3;64
79.0;205.0;84.0;3.0;2.0;6.0;1;101
79.0;186.0;94.0;1.0;13.0;6.0;2;69
80.0;180.0;69.0;1.0;17.0;1.0;1;73
81.0;189.0;69.0;1.0;0.0;7.0;2;76
77.0;168.0;105.0;2.0;13.0;7.0;2;64
81.0;207.0;78.0;2.0;1.0;8.0;2;90
80.0;175.0;61.0;1.0;10.0;7.0;2;68
79.0;158.0;98.0;1.0;18.0;6.0;4;50
79.0;174.0;76.0;1.0;18.0;9.0;2;62
83.0;174.0;90.0;3.0;2.0;7.0;1;97
81.0;169.0;61.0;2.0;20.0;0.0;3;78
79.0;159.0;77.0;2.0;18.0;8.0;1;71
77.0;190.0;96.0;1.0;15.0;2.0;3;63
80.0;204.0;86.0;3.0;9.0;7.0;1;92
83.0;176.0;90.0;2.0;13.0;7.0;1;81
80.0;193.0;82.0;3.0;8.0;4.0;3;96
79.0;188.0;65.0;1.0;9.0;7.0;3;70
81.0;202.0;88.0;0.0;1.0;7.0;3;73
82.0;177.0;77.0;1.0;16.0;8.0;2;65
77.0;188.0;74.0;2.0;20.0;9.0;3;67
80.0;188.0;66.0;2.0;13.0;8.0;1;82
82.0;176.0;70.0;1.0;16.0;7.0;2;69
79.0;181.0;94.0;3.0;1.0;1.0;3;97
80.0;190.0;72.0;2.0;1.0;0.0;2;92
80.0;188.0;71.0;3.0;16.0;2.0;1;93
81.0;180.0;75.0;1.0;1.0;7.0;2;79
78.0;202.0;82.0;1.0;4.0;4.0;2;76
78.0;197.0;75.0;3.0;20.0;7.0;2;84
81.0;192.0;85.0;1.0;21.0;8.0;2;66
82.0;166.0;68.0;3.0;13.0;7.0;3;91
80.0;186.0;79.0;3.0;18.0;9.0;2;80
83.0;185.0;64.0;3.0;6.0;1.0;3;103
81.0;179.0;70.0;2.0;15.0;8.0;1;80
78.0;157.0;73.0;2.0;3.0;5.0;2;81
80.0;183.0;86.0;1.0;13.0;5.0;3;68
84.0;198.0;74.0;2.0;15.0;5.0;3;78
80.0;182.0;87.0;2.0;11.0;9.0;2;76
77.0;185.0;104.0;1.0;3.0;7.0;1;70
81.0;190.0;85.0;1.0;17.0;9.0;2;67
81.0;173.0;95.0;1.0;8.0;1.0;4;62
82.0;184.0;91.0;2.0;14.0;7.0;3;69
83.0;199.0;63.0;1.0;10.0;7.0;2;77
83.0;175.0;62.0;2.0;1.0;9.0;2;88
82.0;182.0;67.0;2.0;13.0;3.0;3;81
84.0;175.0;79.0;1.0;2.0;4.0;1;87
81.0;198.0;65.0;2.0;18.0;8.0;2;74
80.0;194.0;82.0;3.0;17.0;5.0;2;85
79.0;186.0;68.0;1.0;19.0;5.0;2;68
79.0;169.0;96.0;2.0;21.0;9.0;1;64
81.0;176.0;85.0;2.0;2.0;6.0;3;82
80.0;203.0;85.0;2.0;0.0;9.0;1;91
79.0;169.0;88.0;2.0;2.0;9.0;2;79
81.0;200.0;96.0;2.0;17.0;8.0;2;76
83.0;193.0;85.0;1.0;13.0;6.0;2;75
80.0;192.0;63.0;1.0;18.0;7.0;3;68
80.0;197.0;96.0;2.0;21.0;1.0;3;78
83.0;196.0;100.0;1.0;11.0;6.0;5;66
79.0;167.0;89.0;0.0;10.0;6.0;2;59
82.0;164.0;77.0;3.0;8.0;3.0;3;94
78.0;204.0;84.0;1.0;11.0;2.0;3;72
83.0;174.0;97.0;1.0;17.0;1.0;2;67
79.0;201.0;76.0;1.0;1.0;8.0;3;76
76.0;190.0;86.0;2.0;17.0;3.0;2;78
82.0;180.0;63.0;1.0;1.0;9.0;3;76
81.0;193.0;70.0;1.0;6.0;6.0;1;81
79.0;186.0;67.0;2.0;0.0;8.0;1;87
79.0;193.0;62.0;2.0;16.0;5.0;1;86
80.0;189.0;71.0;2.0;17.0;8.0;2;76
78.0;193.0;62.0;3.0;0.0;7.0;2;96
80.0;201.0;79.0;2.0;1.0;9.0;2;84
78.0;179.0;80.0;0.0;14.0;7.0;2;60
81.0;202.0;91.0;3.0;16.0;6.0;2;86
82.0;180.0;74.0;3.0;13.0;4.0;3;90
80.0;167.0;61.0;2.0;4.0;7.0;2;82
77.0;189.0;99.0;2.0;7.0;0.0;4;75
81.0;165.0;65.0;2.0;15.0;9.0;3;72
80.0;182.0;70.0;2.0;19.0;4.0;3;80
82.0;172.0;68.0;2.0;18.0;7.0;1;83
79.0;184.0;88.0;1.0;5.0;1.0;3;71
81.0;186.0;77.0;2.0;13.0;4.0;1;87
79.0;176.0;71.0;2.0;0.0;9.0;2;83
79.0;187.0;70.0;1.0;1.0;7.0;2;80
81.0;176.0;73.0;4.0;20.0;7.0;1;91
81.0;176.0;87.0;1.0;0.0;4.0;2;78
81.0;186.0;94.0;1.0;13.0;7.0;1;70
81.0;186.0;67.0;2.0;0.0;5.0;1;91
79.0;188.0;92.0;2.0;1.0;9.0;4;73
78.0;178.0;72.0;2.0;0.0;0.0;2;89
78.0;196.0;99.0;1.0;16.0;8.0;4;61
82.0;187.0;80.0;2.0;12.0;5.0;2;85
80.0;182.0;68.0;1.0;4.0;8.0;3;71
80.0;179.0;80.0;1.0;0.0;6.0;1;80
81.0;187.0;77.0;1.0;1.0;3.0;3;81
78.0;182.0;74.0;1.0;11.0;3.0;3;68
81.0;201.0;69.0;3.0;19.0;7.0;3;83
81.0;159.0;67.0;1.0;17.0;3.0;4;58
81.0;187.0;73.0;2.0;19.0;7.0;3;74
81.0;179.0;66.0;1.0;13.0;6.0;3;72
80.0;194.0;90.0;1.0;17.0;3.0;1;71
81.0;204.0;61.0;1.0;3.0;5.0;2;83
78.0;188.0;66.0;3.0;0.0;0.0;1;104
82.0;176.0;82.0;2.0;6.0;9.0;1;87
77.0;189.0;88.0;1.0;11.0;6.0;2;69
80.0;187.0;96.0;1.0;21.0;5.0;4;55
82.0;192.0;61.0;2.0;18.0;6.0;2;84
81.0;165.0;67.0;2.0;0.0;7.0;1;94
79.0;177.0;79.0;2.0;2.0;9.0;2;86
79.0;178.0;76.0;2.0;15.0;8.0;2;73
81.0;164.0;102.0;1.0;15.0;8.0;2;60
76.0;180.0;68.0;3.0;1.0;3.0;3;97
78.0;195.0;65.0;1.0;21.0;7.0;3;58
83.0;167.0;65.0;1.0;5.0;3.0;1;80
82.0;183.0;85.0;1.0;0.0;5.0;2;84
78.0;195.0;83.0;1.0;1.0;8.0;1;75
80.0;171.0;86.0;3.0;13.0;7.0;3;75
81.0;163.0;74.0;2.0;1.0;4.0;1;86
80.0;165.0;80.0;2.0;14.0;2.0;4;76
82.0;192.0;97.0;1.0;18.0;6.0;1;67
81.0;166.0;85.0;3.0;19.0;6.0;1;84
80.0;183.0;69.0;1.0;0.0;5.0;3;75
78.0;196.0;73.0;1.0;5.0;8.0;4;70
81.0;174.0;70.0;1.0;11.0;2.0;4;69
80.0;180.0;83.0;1.0;0.0;0.0;3;76
79.0;180.0;79.0;1.0;19.0;7.0;3;57
80.0;193.0;93.0;1.0;21.0;6.0;3;60
83.0;189.0;63.0;0.0;13.0;9.0;2;66
79.0;182.0;70.0;3.0;4.0;8.0;2;95
80.0;184.0;81.0;1.0;4.0;4.0;1;82
77.0;169.0;97.0;2.0;1.0;8.0;2;78
78.0;179.0;68.0;2.0;6.0;2.0;3;82
80.0;193.0;97.0;1.0;2.0;9.0;2;71
81.0;203.0;76.0;3.0;3.0;0.0;3;97
78.0;188.0;78.0;1.0;13.0;7.0;4;58
80.0;178.0;95.0;1.0;14.0;8.0;3;64
83.0;170.0;68.0;1.0;0.0;6.0;3;81
79.0;177.0;82.0;1.0;15.0;6.0;2;66
80.0;170.0;94.0;1.0;8.0;5.0;3;69
80.0;187.0;85.0;1.0;17.0;7.0;2;65
79.0;184.0;63.0;1.0;7.0;3.0;3;77
79.0;194.0;74.0;2.0;6.0;6.0;2;79
80.0;192.0;84.0;1.0;1.0;6.0;2;83
77.0;178.0;81.0;1.0;1.0;5.0;4;71
78.0;204.0;71.0;1.0;3.0;8.0;3;74
81.0;175.0;77.0;0.0;1.0;9.0;2;69
81.0;164.0;92.0;1.0;2.0;8.0;3;68
81.0;208.0;89.0;1.0;1.0;6.0;2;80
80.0;192.0;70.0;1.0;6.0;3.0;2;82
82.0;199.0;69.0;3.0;0.0;7.0;1;104
80.0;196.0;95.0;2.0;13.0;3.0;4;78
79.0;175.0;74.0;4.0;2.0;9.0;2;99
80.0;173.0;81.0;2.0;5.0;4.0;2;87
79.0;196.0;66.0;2.0;11.0;7.0;2;84
84.0;197.0;71.0;2.0;0.0;9.0;3;86
79.0;177.0;85.0;1.0;0.0;9.0;3;73
82.0;174.0;73.0;2.0;3.0;9.0;2;82
82.0;178.0;74.0;2.0;0.0;6.0;1;89
83.0;197.0;79.0;3.0;7.0;7.0;2;94
79.0;183.0;65.0;2.0;0.0;5.0;2;94
81.0;181.0;97.0;1.0;6.0;4.0;2;75
81.0;183.0;72.0;2.0;0.0;8.0;3;84
78.0;184.0;69.0;1.0;12.0;8.0;2;72
79.0;180.0;89.0;3.0;5.0;3.0;2;91
83.0;195.0;64.0;3.0;0.0;1.0;3;107
82.0;202.0;87.0;1.0;16.0;8.0;2;70
81.0;208.0;61.0;2.0;12.0;7.0;1;92
82.0;184.0;94.0;1.0;1.0;7.0;1;83
77.0;180.0;76.0;1.0;6.0;3.0;4;68
79.0;166.0;73.0;0.0;1.0;3.0;3;67
80.0;177.0;66.0;3.0;14.0;4.0;1;90
81.0;204.0;83.0;2.0;3.0;7.0;3;91
79.0;194.0;75.0;1.0;4.0;3.0;2;83
82.0;180.0;68.0;1.0;2.0;8.0;1;84
81.0;177.0;96.0;3.0;8.0;9.0;4;85
80.0;184.0;85.0;2.0;14.0;5.0;3;73
78.0;156.0;108.0;1.0;15.0;8.0;2;54
83.0;163.0;65.0;2.0;15.0;5.0;2;75
80.0;180.0;85.0;1.0;0.0;9.0;2;72
81.0;196.0;72.0;1.0;9.0;4.0;2;78
78.0;185.0;96.0;0.0;12.0;7.0;1;61
80.0;196.0;82.0;1.0;9.0;6.0;4;65
80.0;177.0;71.0;1.0;0.0;6.0;2;79
82.0;189.0;74.0;1.0;0.0;3.0;1;86
79.0;185.0;61.0;2.0;0.0;7.0;3;84
79.0;166.0;79.0;1.0;2.0;3.0;2;78
81.0;192.0;87.0;2.0;3.0;4.0;2;91
80.0;191.0;85.0;1.0;2.0;4.0;2;75
80.0;192.0;111.0;1.0;9.0;7.0;4;59
80.0;201.0;84.0;2.0;9.0;2.0;3;86
78.0;177.0;72.0;1.0;0.0;4.0;3;82
81.0;183.0;98.0;2.0;19.0;1.0;3;72
80.0;200.0;101.0;2.0;20.0;9.0;2;74
82.0;177.0;95.0;2.0;2.0;4.0;2;83
80.0;155.0;81.0;2.0;15.0;0.0;4;69
81.0;197.0;110.0;1.0;1.0;4.0;3;79
78.0;194.0;83.0;1.0;8.0;8.0;3;65
84.0;186.0;99.0;2.0;9.0;7.0;1;88
80.0;197.0;66.0;3.0;10.0;8.0;2;100
81.0;180.0;72.0;4.0;10.0;5.0;3;96
80.0;175.0;64.0;1.0;11.0;7.0;3;72
81.0;168.0;97.0;3.0;15.0;2.0;2;82
82.0;192.0;90.0;0.0;14.0;3.0;3;63
83.0;196.0;74.0;1.0;0.0;3.0;3;85
79.0;203.0;78.0;0.0;7.0;8.0;1;68
79.0;169.0;64.0;3.0;7.0;7.0;2;92
80.0;168.0;82.0;1.0;10.0;9.0;1;70
80.0;209.0;90.0;2.0;15.0;2.0;3;76
82.0;171.0;73.0;2.0;4.0;9.0;4;76
81.0;178.0;62.0;1.0;6.0;6.0;4;77
80.0;196.0;75.0;2.0;17.0;1.0;4;72
81.0;185.0;90.0;1.0;7.0;1.0;1;79
81.0;173.0;87.0;1.0;19.0;5.0;2;61
81.0;174.0;88.0;1.0;16.0;9.0;2;62
76.0;178.0;63.0;3.0;17.0;5.0;1;93
81.0;198.0;76.0;1.0;2.0;5.0;2;82
81.0;171.0;80.0;2.0;21.0;5.0;2;70
81.0;172.0;92.0;1.0;1.0;6.0;3;72
79.0;186.0;79.0;2.0;3.0;5.0;3;81
77.0;154.0;75.0;1.0;15.0;9.0;5;48
81.0;204.0;60.0;1.0;0.0;7.0;2;85
78.0;180.0;72.0;1.0;18.0;4.0;2;68
79.0;174.0;65.0;1.0;12.0;8.0;2;70
79.0;192.0;83.0;1.0;3.0;9.0;4;65
82.0;194.0;81.0;2.0;0.0;10.0;2;94
82.0;196.0;110.0;2.0;15.0;8.0;1;79
79.0;197.0;65.0;1.0;19.0;8.0;2;69
78.0;176.0;110.0;1.0;3.0;0.0;2;77
80.0;186.0;80.0;1.0;1.0;9.0;3;78
79.0;181.0;88.0;1.0;15.0;10.0;2;58
78.0;180.0;95.0;3.0;10.0;5.0;4;82
82.0;182.0;81.0;1.0;22.0;2.0;2;64
82.0;206.0;105.0;1.0;3.0;0.0;2;86
78.0;178.0;72.0;2.0;1.0;9.0;3;80
78.0;169.0;75.0;3.0;8.0;2.0;3;90
82.0;180.0;71.0;2.0;2.0;6.0;2;89
81.0;165.0;69.0;2.0;18.0;8.0;2;74
80.0;177.0;85.0;1.0;22.0;3.0;4;60
83.0;195.0;62.0;3.0;19.0;1.0;1;100
81.0;207.0;95.0;0.0;13.0;9.0;2;61
81.0;197.0;60.0;2.0;7.0;4.0;1;91
82.0;168.0;97.0;1.0;14.0;5.0;1;68
81.0;184.0;84.0;2.0;0.0;9.0;3;85
77.0;169.0;65.0;2.0;12.0;9.0;2;72
78.0;213.0;75.0;3.0;19.0;7.0;4;73
81.0;167.0;110.0;3.0;1.0;7.0;1;92
81.0;193.0;77.0;1.0;17.0;6.0;2;67
80.0;167.0;77.0;3.0;2.0;8.0;2;89
81.0;185.0;106.0;1.0;6.0;9.0;2;66
76.0;177.0;68.0;1.0;15.0;9.0;2;61
80.0;192.0;70.0;2.0;16.0;9.0;2;81
80.0;200.0;104.0;2.0;10.0;5.0;4;70
82.0;172.0;86.0;1.0;4.0;6.0;2;70
79.0;186.0;87.0;1.0;15.0;9.0;3;56
80.0;201.0;65.0;1.0;10.0;2.0;2;84
81.0;191.0;77.0;1.0;22.0;7.0;3;61
80.0;199.0;104.0;1.0;2.0;6.0;2;74
78.0;190.0;69.0;3.0;0.0;5.0;2;104
81.0;199.0;86.0;1.0;5.0;5.0;4;72
82.0;174.0;80.0;1.0;1.0;9.0;2;77
81.0;173.0;65.0;1.0;22.0;6.0;2;67
79.0;190.0;70.0;2.0;20.0;8.0;2;70
78.0;186.0;85.0;1.0;21.0;6.0;2;55
78.0;183.0;62.0;3.0;2.0;8.0;4;94
78.0;177.0;70.0;1.0;0.0;3.0;2;84
82.0;192.0;76.0;1.0;8.0;3.0;2;83
80.0;176.0;79.0;2.0;1.0;7.0;4;81
80.0;213.0;64.0;1.0;0.0;7.0;3;78
81.0;175.0;69.0;2.0;15.0;1.0;1;87
82.0;179.0;86.0;1.0;21.0;7.0;3;61
76.0;187.0;71.0;2.0;0.0;6.0;2;85
79.0;214.0;78.0;1.0;21.0;9.0;3;60
81.0;165.0;69.0;2.0;8.0;3.0;2;91
79.0;185.0;86.0;3.0;16.0;6.0;3;84
80.0;195.0;75.0;2.0;1.0;2.0;2;90
81.0;179.0;71.0;2.0;8.0;9.0;3;75
81.0;194.0;95.0;1.0;0.0;1.0;1;86
80.0;175.0;74.0;3.0;15.0;0.0;3;84
81.0;173.0;92.0;2.0;3.0;6.0;2;79
78.0;181.0;89.0;1.0;14.0;9.0;1;63
81.0;181.0;80.0;0.0;4.0;6.0;1;70
78.0;180.0;97.0;1.0;17.0;9.0;3;52
81.0;185.0;87.0;2.0;20.0;6.0;4;71
78.0;195.0;71.0;1.0;11.0;8.0;2;68
80.0;169.0;96.0;1.0;20.0;3.0;2;64
79.0;178.0;85.0;1.0;21.0;2.0;2;61
82.0;163.0;77.0;1.0;13.0;0.0;2;78
81.0;188.0;109.0;4.0;0.0;1.0;1;107
81.0;175.0;85.0;1.0;21.0;9.0;4;48
79.0;180.0;92.0;2.0;18.0;4.0;3;68
82.0;185.0;67.0;2.0;14.0;0.0;4;83
79.0;186.0;97.0;1.0;21.0;7.0;2;62
81.0;171.0;76.0;3.0;5.0;9.0;3;86
82.0;186.0;84.0;2.0;7.0;5.0;3;77
79.0;180.0;96.0;3.0;2.0;9.0;3;88
81.0;167.0;61.0;2.0;9.0;4.0;3;79
82.0;162.0;69.0;1.0;21.0;7.0;2;60
79.0;199.0;107.0;1.0;15.0;8.0;4;55
82.0;184.0;92.0;1.0;21.0;7.0;3;62
81.0;180.0;99.0;1.0;4.0;9.0;2;68
81.0;192.0;70.0;2.0;8.0;3.0;3;86
82.0;173.0;84.0;2.0;9.0;4.0;2;85
81.0;178.0;82.0;1.0;1.0;5.0;3;80
82.0;156.0;73.0;1.0;0.0;8.0;4;69
78.0;203.0;66.0;1.0;4.0;9.0;3;75
77.0;172.0;71.0;1.0;1.0;9.0;2;68
80.0;205.0;68.0;2.0;0.0;2.0;1;105
79.0;179.0;62.0;1.0;20.0;7.0;3;59
77.0;170.0;61.0;1.0;9.0;1.0;3;71
84.0;187.0;78.0;2.0;6.0;5.0;3;91
82.0;183.0;73.0;3.0;0.0;6.0;2;98
77.0;169.0;97.0;1.0;0.0;6.0;3;62
78.0;170.0;86.0;2.0;7.0;7.0;2;74
80.0;201.0;83.0;1.0;0.0;8.0;2;78
81.0;181.0;78.0;3.0;7.0;8.0;3;87
80.0;165.0;70.0;2.0;7.0;8.0;4;75
82.0;183.0;85.0;3.0;12.0;6.0;1;91
78.0;178.0;60.0;1.0;10.0;9.0;4;63
77.0;173.0;65.0;1.0;5.0;7.0;3;66
82.0;173.0;70.0;1.0;0.0;8.0;4;78
81.0;192.0;75.0;1.0;19.0;9.0;4;57
80.0;163.0;83.0;0.0;16.0;9.0;3;46
78.0;186.0;88.0;1.0;17.0;9.0;2;64
80.0;186.0;97.0;2.0;9.0;6.0;2;75
80.0;176.0;92.0;2.0;10.0;7.0;4;70
80.0;181.0;70.0;2.0;0.0;3.0;1;97
83.0;167.0;95.0;1.0;1.0;1.0;2;80
83.0;195.0;88.0;1.0;9.0;5.0;3;78
81.0;183.0;79.0;2.0;3.0;9.0;2;90
81.0;206.0;61.0;2.0;0.0;9.0;1;96
83.0;188.0;98.0;1.0;0.0;4.0;3;81
81.0;179.0;93.0;3.0;14.0;9.0;1;84
82.0;189.0;75.0;2.0;7.0;5.0;3;84
81.0;206.0;86.0;3.0;14.0;4.0;4;83
76.0;185.0;65.0;2.0;18.0;8.0;3;67
81.0;201.0;91.0;2.0;4.0;7.0;4;85
81.0;172.0;91.0;2.0;8.0;4.0;3;72
80.0;177.0;74.0;2.0;19.0;7.0;2;73
79.0;200.0;69.0;1.0;16.0;8.0;2;70
80.0;189.0;72.0;1.0;21.0;8.0;3;57
80.0;193.0;80.0;2.0;0.0;8.0;2;94
79.0;157.0;69.0;2.0;7.0;1.0;3;83
